
2023-09-27 17:05:43.446566,Gestión de reserva,invalid literal for int() with base 10: 'dsdsafasf'
2023-09-27 17:05:36.682174,Menu,invalid literal for int() with base 10: 'ss'
2023-09-27 17:05:26.824871,Menu,invalid literal for int() with base 10: 'asd'
2023-09-27 17:05:25.191489,Menu,invalid literal for int() with base 10: 'asd'
2023-09-27 17:05:23.587864,Menu,invalid literal for int() with base 10: 'asd'
2023-09-27 19:00:51.114555,Gestión de reserva,time data '123' does not match format '%d/%m/%Y'
2023-09-29 20:18:10.714935,Gestión de reserva,name 'lista_hoteles' is not defined
2023-10-02 20:43:38.108183,Impresión,'123'
2023-10-02 20:43:38.108183,Impresión,'123'
2023-10-10 22:42:02.421954,Gestión de reserva,'<' not supported between instances of 'str' and 'int'
2023-10-10 22:43:55.025558,Gestión de reserva,'arbol' object has no attribute 'root'
